sku,name,price_from_rub,usp,battery,charge,strings_in_box,strings_compatible,age,colors,cert,status
original,ZipString Original,2290,"Классика — запуск петли нити, 100+ трюков",3–4 ч,1.5–2 ч,3 сменные,"Original+Luma взаимозаменяемы",4+ (до 8 под наблюдением),"красный (ZS-V5-RR-04), синий (ZS-V5-BB-04) — упаковка Try Me",ТР ТС 008/2011 · ASTM F963 · EN 62115,available
luma,ZipString Luma,2890,"Светится в темноте — встроенный LED непрерывно заряжает UV и Glow нити",4 ч,1.5 ч,3 UV + 2 Glow,"Original+Luma взаимозаменяемы",4+ (до 8 под наблюдением),—,ТР ТС 008/2011 · ASTM F963 · EN 62115,coming_soon
aracna,ZipString Aracna,3690,"Нитевой вебшутер — запуск и возврат нити одним нажатием, обе руки",~1 ч,45 мин,5 сменных,"спец. нити с возвратом",4+ (до 8 под наблюдением),"голубой (AR-V2-BLU-03) — упаковка Retail",ТР ТС 008/2011 · ASTM F963 · EN 62115,available
string-pack,Сменные нити (паки),,"Расходники: сменные нити к устройствам",,,,,,,,апселл
